,sessionid,appid,orgid,platform,appversion,sdkversion,deviceid,devicemodel,devicemarketingname,devicemanufacturer,deviceclass,devicewidth,deviceheight,devicedpi,isdevicerooted,isdevicenotificationenabled,devicetotalram,devicefreeram,devicestorage,devicecountry,devicelanguage,deviceosname,deviceosversion,devicecarriername,devicecarriercode,totalsessiontime,isfavourite,iscrashed,isoffline,recordedon,uploadedon,country,countrycode,city,latitude,longitude,sessionrun,isplayed,apiversion,totalgesture,totalscreen,isvideoavailable,uxcamuserid,usersessionrun,devicelocaldatetime,totaluniquescreen,uniquescreen,isdeleted,eventlist
0,5c0a3e612289150024323e03,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,13.0,320.0,False,,485.0,485.0,10642.0,India,English, M,6.0,Ncell,42902,24.787,False,False,False,2018-12-07 09:33:18.614,2018-12-07 09:33:50.305,Nepal,NP,Bhaktapur,27.6667,85.4167,20,False,v4,17,5,True,5bfe2cd7e7ad94133f6a7ab6,20,2018-12-07 15:18:18.000,3,"['mainactivity', 'activitycrash', 'activityuserdetails']",False,
1,5c0a3e022289150024323e02,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,482.0,482.0,10642.0,India,English, M,6.0,Ncell,42902,9.23,False,False,False,2018-12-07 09:31:43.503,2018-12-07 09:32:01.816,Nepal,NP,Bhaktapur,27.6667,85.4167,19,False,v4,16,1,True,5bfe2cd7e7ad94133f6a7ab6,19,2018-12-07 15:16:43.000,1,['mainactivity'],False,
2,5c0a3de52289150024323e01,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,488.0,488.0,10642.0,India,English, M,6.0,Ncell,42902,8.22,False,False,False,2018-12-07 09:31:14.696,2018-12-07 09:31:27.139,Nepal,NP,Bhaktapur,27.6667,85.4167,18,False,v4,11,1,True,5bfe2cd7e7ad94133f6a7ab6,18,2018-12-07 15:16:14.000,1,['mainactivity'],False,
3,5c0a3dc42289150024323e00,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,489.0,489.0,10642.0,India,English, M,6.0,Ncell,42902,8.241,False,False,False,2018-12-07 09:30:42.279,2018-12-07 09:30:54.817,Nepal,NP,Bhaktapur,27.6667,85.4167,17,False,v4,7,1,True,5bfe2cd7e7ad94133f6a7ab6,17,2018-12-07 15:15:42.000,1,['mainactivity'],False,
4,5c0a3d882289150024323dff,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,485.0,485.0,10642.0,India,English, M,6.0,Ncell,42902,8.204,False,False,False,2018-12-07 09:29:41.609,2018-12-07 09:29:54.050,Nepal,NP,Bhaktapur,27.6667,85.4167,16,False,v4,3,1,True,5bfe2cd7e7ad94133f6a7ab6,16,2018-12-07 15:14:41.000,1,['mainactivity'],False,
5,5c0a3d362289150024323dfe,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,478.0,478.0,10642.0,India,English, M,6.0,Ncell,42902,12.362,False,False,False,2018-12-07 09:28:19.812,2018-12-07 09:28:36.749,Nepal,NP,Bhaktapur,27.6667,85.4167,15,False,v4,16,3,True,5bfe2cd7e7ad94133f6a7ab6,15,2018-12-07 15:13:19.000,2,"['mainactivity', 'activitycrash']",False,
6,5c02992f8bfeac002446e6c1,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,506.0,506.0,10642.0,India,English, M,6.0,Ncell,42902,8.286,False,False,False,2018-12-01 14:22:37.276,2018-12-01 14:22:50.427,Nepal,NP,Kathmandu,27.7167,85.3167,14,False,v4,6,5,True,5bfe2cd7e7ad94133f6a7ab6,14,2018-12-01 20:07:37.000,3,"['mainactivity', 'activityuserdetails', 'activitycrash']",False,
7,5bfe82fbaa77bc001a918f2f,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,534.0,534.0,10642.0,India,English, M,6.0,Ncell,42902,25.882,False,False,False,2018-11-28 11:58:49.265,2018-11-28 11:59:20.094,Nepal,NP,Bhaktapur,27.6667,85.4167,13,False,v4,20,6,True,5bfe2cd7e7ad94133f6a7ab6,13,2018-11-28 17:43:49.000,3,"['mainactivity', 'activitysessionproperties', 'activitycustomevents']",False,"['custom event 5', 'custom event 4', 'custom event 3', 'custom event 2', 'custom event 1', 'custom event 6', 'sh', 'sh']"
8,5bfe82fdaa77bc001a918f31,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,561.0,561.0,10642.0,India,English, M,6.0,Ncell,42902,27.026,False,False,False,2018-11-28 11:57:18.483,2018-11-28 11:58:54.900,Nepal,NP,Bhaktapur,27.6667,85.4167,12,False,v4,10,7,True,5bfe2cd7e7ad94133f6a7ab6,12,2018-11-28 17:42:18.000,2,"['mainactivity', 'activitycustomevents']",False,"['custom event 5', 'ashutosh', 'custom event 2', 'custom event 3', 'custom event 1']"
9,5bfe82fdaa77bc001a918f30,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,546.0,546.0,10642.0,India,English, M,6.0,Ncell,42902,25.953,False,False,False,2018-11-28 11:57:54.841,2018-11-28 11:58:54.838,Nepal,NP,Bhaktapur,27.6667,85.4167,11,False,v4,10,7,True,5bfe2cd7e7ad94133f6a7ab6,11,2018-11-28 17:42:54.000,3,"['mainactivity', 'activityuserdetails', 'activitycustomevents']",False,"['custom event 5', 'custom event 2', 'ashutoshq', 'custom event 3']"
10,5bfe55f0aa77bc001a918f0e,5bfe2c5efca8911e7b356564,5bfe2b75fca8911e2e13caa8,1,1.0,3.0.0-beta.8,77920e3a53ce5da2,CAM-UL00,CAM-UL00,HUAWEI,Android Xlarge,720.0,1208.0,320.0,False,,562.0,562.0,10642.0,India,English, M,6.0,Ncell,42902,12.452,False,False,False,2018-11-28 08:46:38.516,2018-11-28 08:46:54.890,Nepal,NP,Bhaktapur,27.6667,85.4167,10,False,v4,1,1,True,5bfe2cd7e7ad94133f6a7ab6,10,2018-11-28 14:31:38.000,1,['activitycustomevents'],False,['custom event 6']
